iter	R2	RMSE
0	0.01547054398	1.014311165
1	0.03110048255	1.006227584
2	0.04628502959	0.9983116717
3	0.06085421659	0.9906570972
4	0.0751836096	0.9830703729
5	0.08861146728	0.9759074395
6	0.1019570309	0.9687359288
7	0.1144883657	0.9619532905
8	0.1269506266	0.9551602736
9	0.1397043737	0.9481579837
10	0.1514866373	0.9416428039
11	0.1630284297	0.9352165894
12	0.1740629357	0.9290312584
13	0.185039365	0.9228373524
14	0.1957454752	0.9167556712
15	0.2061428087	0.9108105247
16	0.2164223056	0.9048943595
17	0.22673016	0.8989227766
18	0.2362133869	0.8933936677
19	0.2457235529	0.8878142718
20	0.2542063343	0.8828078657
21	0.2628068158	0.8777028416
22	0.271608618	0.8724473908
23	0.2797676191	0.8675473154
24	0.2877042334	0.8627540971
25	0.2957363589	0.8578759299
26	0.3037888331	0.8529573997
27	0.3109984195	0.8485295239
28	0.3184712384	0.8439154601
29	0.3259383185	0.8392796028
30	0.3332890928	0.8346908041
31	0.3401436828	0.8303889057
32	0.3463931721	0.8264472501
33	0.3531047244	0.8221931202
34	0.3596047839	0.8180519577
35	0.3661319505	0.8138723223
36	0.3721149582	0.8100221918
37	0.3781471027	0.8061218257
38	0.3839980219	0.8023205244
39	0.3897744268	0.7985498837
40	0.394963584	0.7951473322
41	0.4002527987	0.7916641229
42	0.4057173879	0.7880492509
43	0.4107368688	0.784714149
44	0.4157036614	0.7814000438
45	0.420546054	0.7781553562
46	0.4253374134	0.7749314922
47	0.4300235907	0.7717653734
48	0.4346386225	0.7686345765
49	0.4388879958	0.7657405197
50	0.4431661128	0.7628157956
51	0.4472559171	0.7600092881
52	0.4515647985	0.7570411903
53	0.4556631684	0.7542072612
54	0.4594855265	0.7515545572
55	0.4633169832	0.7488861089
56	0.4669443905	0.7463509805
57	0.4704451953	0.7438961399
58	0.4739670156	0.7414183615
59	0.4771579208	0.7391662268
60	0.4805406034	0.7367712185
61	0.4836107398	0.7345907399
62	0.4867544253	0.7323512978
63	0.4899815312	0.7300452848
64	0.4931020045	0.7278085207
65	0.4960818775	0.7256661037
66	0.4990565736	0.7235210813
