iter	Passed	Remaining
0	342	685215
1	440	440131
2	527	351256
3	602	300728
4	674	269115
5	767	254971
6	846	240907
7	922	229769
8	998	220839
9	1086	216262
10	1244	224989
11	1351	223862
12	1479	226104
13	1564	222002
14	1654	218912
15	1733	214932
16	1811	211273
17	1888	207977
18	1971	205557
19	2055	203470
20	2138	201540
21	2214	199059
22	2290	196920
23	2378	195861
24	2466	194842
25	2550	193675
26	2634	192539
27	2715	191230
28	2793	189838
29	2880	189151
30	2970	188693
31	3056	187983
32	3133	186760
33	3215	185923
34	3292	184845
35	3369	183850
36	3459	183520
37	3554	183549
38	3630	182548
39	3704	181506
40	3780	180655
41	3867	180294
42	3959	180212
43	4051	180093
44	4130	179459
45	4227	179555
46	4317	179417
47	4396	178785
48	4474	178166
49	4553	177568
50	4648	177642
51	4744	177742
52	4833	177544
53	4942	178110
54	5023	177637
55	5106	177262
56	5184	176724
57	5266	176334
58	5339	175674
59	5379	173940
60	5455	173409
61	5534	172992
62	5608	172436
63	5677	171747
64	5759	171443
65	5828	170788
66	5896	170105
67	5968	169561
68	6031	168807
69	6100	168200
70	6166	167530
71	6232	166898
72	6298	166260
73	6363	165623
74	6428	164996
75	6493	164376
76	6561	163865
77	6627	163315
78	6694	162779
79	6760	162242
80	6827	161756
81	6896	161317
82	6969	160972
83	7040	160583
84	7106	160112
85	7171	159609
86	7239	159184
87	7305	158725
88	7370	158259
89	7436	157820
90	7502	157382
91	7570	156995
92	7639	156645
93	7705	156246
94	7776	155943
95	7840	155508
96	7913	155257
97	7982	154923
98	8059	154752
99	8125	154377
100	8189	153983
101	8262	153744
102	8330	153418
103	8398	153112
104	8466	152791
105	8533	152475
106	8600	152149
107	8665	151798
108	8736	151564
109	8802	151240
110	8872	150988
111	8947	150829
112	9014	150533
113	9097	150508
114	9165	150237
115	9229	149905
116	9298	149648
117	9363	149346
118	9445	149296
119	9525	149234
120	9595	149010
121	9663	148750
122	9754	148858
123	9832	148753
124	9911	148668
125	9997	148689
126	10079	148659
127	10146	148398
128	10229	148366
129	10316	148397
130	10381	148121
131	10447	147842
